category,Title,Price,Url,id,subtitle,Galleryurl,Payment Method,Postal Code,Location,country,shippingservicecost,shippingtype,expeditedshipping,conditiondisplayname,sellingstate,returnsaccepted,ismultivariationlisting,originalretailprice
athletic shoes,adidas originals continental 80 shoes men's,31,https://www.ebay.com/itm/adidas-originals-continental-80-shoes-mens-/153705002470?var=453719718611,153705002470,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002470404000000002_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,80
athletic shoes,adidas advantage shoes men's,35,https://www.ebay.com/itm/adidas-advantage-shoes-mens-/153705002410?var=453719717405,153705002410,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002410404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639074,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas originals 3mc vulc shoes men's,25,https://www.ebay.com/itm/adidas-originals-3mc-vulc-shoes-mens-/153784847901?var=453813233936,153784847901,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153784847901404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas advantage shoes men's,35,https://www.ebay.com/itm/adidas-advantage-shoes-mens-/153705002410?var=453719717439,153705002410,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002410404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639071,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas pureboost ltd shoes men's,65,https://www.ebay.com/itm/adidas-pureboost-ltd-shoes-mens-/153772787065?var=453796850706,153772787065,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153772787065404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,140
athletic shoes,adidas originals daily 2.0 shoes men's,30,https://www.ebay.com/itm/adidas-originals-daily-2-0-shoes-mens-/153705002449?var=453719718104,153705002449,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153705002449404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,60
athletic shoes,adidas originals streetball shoes men's,55,https://www.ebay.com/itm/adidas-originals-streetball-shoes-mens-/153797919963?var=453830351262,153797919963,free shipping and free 30 day returns on all orders,https://thumbs4.ebaystatic.com/pict/153797919963404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,110
athletic shoes,adidas pureboost ltd shoes men's,65,https://www.ebay.com/itm/adidas-pureboost-ltd-shoes-mens-/153772787065?var=453796850704,153772787065,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153772787065404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,140
athletic shoes,adidas pureboost ltd shoes men's,65,https://www.ebay.com/itm/adidas-pureboost-ltd-shoes-mens-/153772787065?var=453796850710,153772787065,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153772787065404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,140
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639068,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639073,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas ownthegame shoes men's,33,https://www.ebay.com/itm/adidas-ownthegame-shoes-mens-/153705002451?var=453719718290,153705002451,free shipping and free 30 day returns on all orders,https://thumbs4.ebaystatic.com/pict/153705002451404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas pureboost ltd shoes men's,65,https://www.ebay.com/itm/adidas-pureboost-ltd-shoes-mens-/153772787065?var=453796850708,153772787065,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153772787065404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,140
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639077,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639069,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas originals 3mc vulc shoes men's,25,https://www.ebay.com/itm/adidas-originals-3mc-vulc-shoes-mens-/153784847901?var=453813233938,153784847901,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153784847901404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas alphabounce beyond shoes men's,38,https://www.ebay.com/itm/adidas-alphabounce-beyond-shoes-mens-/153705002725?var=453719722799,153705002725,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153705002725404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,100
athletic shoes,adidas alphabounce+ shoes men's,45,https://www.ebay.com/itm/adidas-alphabounce-shoes-mens-/153756123775?var=453777928712,153756123775,free shipping and free 30 day returns on all orders,https://thumbs4.ebaystatic.com/pict/153756123775404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,100
athletic shoes,adidas alphabounce+ shoes men's,45,https://www.ebay.com/itm/adidas-alphabounce-shoes-mens-/153756123775?var=453777928738,153756123775,free shipping and free 30 day returns on all orders,https://thumbs4.ebaystatic.com/pict/153756123775404000000002_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,100
athletic shoes,adidas alphaboost parley shoes men's,55,https://www.ebay.com/itm/adidas-alphaboost-parley-shoes-mens-/153739952722?var=453758619596,153739952722,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153739952722404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,120
athletic shoes,adidas advantage shoes men's,35,https://www.ebay.com/itm/adidas-advantage-shoes-mens-/153705002410?var=453719717458,153705002410,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002410404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas originals coast star shoes men's,30,https://www.ebay.com/itm/adidas-originals-coast-star-shoes-mens-/153705002962?var=453719726795,153705002962,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002962404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,70
athletic shoes,adidas vs set shoes men's,28,https://www.ebay.com/itm/adidas-vs-set-shoes-mens-/153735692137?var=453754059578,153735692137,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153735692137404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,50
athletic shoes,adidas purebounce+ street shoes men's,28,https://www.ebay.com/itm/adidas-purebounce-street-shoes-mens-/153749955861?var=453771341417,153749955861,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153749955861404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,80
athletic shoes,adidas alphabounce trainer shoes men's,40,https://www.ebay.com/itm/adidas-alphabounce-trainer-shoes-mens-/153732517729?var=453749868637,153732517729,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153732517729404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,90
athletic shoes,adidas originals 3mc vulc shoes men's,25,https://www.ebay.com/itm/adidas-originals-3mc-vulc-shoes-mens-/153784847901?var=453813233937,153784847901,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153784847901404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,65
athletic shoes,adidas solarboost shoes men's,50,https://www.ebay.com/itm/adidas-solarboost-shoes-mens-/153733052289?var=453750639075,153733052289,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153733052289404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas crazychaos shoes men's,30,https://www.ebay.com/itm/adidas-crazychaos-shoes-mens-/153705002626?var=453719721276,153705002626,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002626404000000004_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,75
athletic shoes,adidas harden ls 2 shoes men's,47,https://www.ebay.com/itm/adidas-harden-ls-2-shoes-mens-/153705002360?var=453719716092,153705002360,free shipping and free 30 day returns on all orders,https://thumbs1.ebaystatic.com/pict/153705002360404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,160
athletic shoes,adidas pureboost ltd shoes men's,65,https://www.ebay.com/itm/adidas-pureboost-ltd-shoes-mens-/153772787065?var=453796850711,153772787065,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153772787065404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,140
athletic shoes,adidas originals continental 80 shoes men's,31,https://www.ebay.com/itm/adidas-originals-continental-80-shoes-mens-/153705002470?var=453719718573,153705002470,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002470404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,80
athletic shoes,adidas galaxy 4 shoes men's,25,https://www.ebay.com/itm/adidas-galaxy-4-shoes-mens-/153705002500?var=453719719211,153705002500,free shipping and free 30 day returns on all orders,https://thumbs1.ebaystatic.com/pict/153705002500404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,50
athletic shoes,adidas originals continental 80 shoes men's,31,https://www.ebay.com/itm/adidas-originals-continental-80-shoes-mens-/153705002470?var=453719718613,153705002470,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002470404000000002_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,80
athletic shoes,adidas originals daily 2.0 shoes men's,30,https://www.ebay.com/itm/adidas-originals-daily-2-0-shoes-mens-/153705002449?var=453719718115,153705002449,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153705002449404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,60
athletic shoes,adidas pureboost ltd shoes men's,65,https://www.ebay.com/itm/adidas-pureboost-ltd-shoes-mens-/153772787065?var=453796850712,153772787065,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153772787065404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,140
athletic shoes,adidas originals streetball shoes men's,55,https://www.ebay.com/itm/adidas-originals-streetball-shoes-mens-/153797919963?var=453830351284,153797919963,free shipping and free 30 day returns on all orders,https://thumbs4.ebaystatic.com/pict/153797919963404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,110
athletic shoes,adidas originals coast star shoes men's,30,https://www.ebay.com/itm/adidas-originals-coast-star-shoes-mens-/153705002962?var=453719726798,153705002962,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153705002962404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,70
athletic shoes,adidas purebounce+ street shoes men's,28,https://www.ebay.com/itm/adidas-purebounce-street-shoes-mens-/153749955861?var=453771341414,153749955861,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153749955861404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,80
athletic shoes,adidas alphaboost parley shoes men's,55,https://www.ebay.com/itm/adidas-alphaboost-parley-shoes-mens-/153739952722?var=453758619600,153739952722,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153739952722404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,120
athletic shoes,adidas alphabounce+ shoes men's,45,https://www.ebay.com/itm/adidas-alphabounce-shoes-mens-/153756123775?var=453777928713,153756123775,free shipping and free 30 day returns on all orders,https://thumbs4.ebaystatic.com/pict/153756123775404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,100
athletic shoes,adidas vs set shoes men's,28,https://www.ebay.com/itm/adidas-vs-set-shoes-mens-/153735692137?var=453754059583,153735692137,free shipping and free 30 day returns on all orders,https://thumbs2.ebaystatic.com/pict/153735692137404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,50
athletic shoes,adidas alphaboost parley shoes men's,55,https://www.ebay.com/itm/adidas-alphaboost-parley-shoes-mens-/153739952722?var=453758619597,153739952722,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153739952722404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,120
athletic shoes,adidas alphaboost parley shoes men's,55,https://www.ebay.com/itm/adidas-alphaboost-parley-shoes-mens-/153739952722?var=453758619602,153739952722,free shipping and free 30 day returns on all orders,https://thumbs3.ebaystatic.com/pict/153739952722404000000001_1.jpg,paypal,293**,"spartanburg,sc,usa",us,0.0,free,false,new with box,active,true,true,120
